,PostalCode,name,categories,lat,lng
56,M7A,Subway,Sandwich Place,43.65897011920262,-79.3908742539673
57,M7A,Subway,Sandwich Place,43.66392365601612,-79.38657372617945
58,M7A,Subway,Sandwich Place,43.66065333524068,-79.38450645041331
59,M7A,Upper Deck by Fran's,Bar,43.66130448614313,-79.3840381913115
60,M7A,Aroma Espresso Bar,Café,43.658927676749364,-79.38990298985978
61,M7A,Tim Hortons,Coffee Shop,43.6610382,-79.3937966
62,M7A,Starbucks,Coffee Shop,43.660887,-79.39372
63,M7A,Pizza Nova,Pizza Place,43.66539506806199,-79.3874611023422
64,M7A,Subway,Sandwich Place,43.6642394686601,-79.38441753387451
65,M7A,Tosto,Italian Restaurant,43.661198,-79.386414
66,M7A,Hart House Gym,Gym,43.66417202442517,-79.39488839857401
67,M7A,KFC,Fast Food Restaurant,43.6604,-79.3839
68,M7A,Ali Baba's,Middle Eastern Restaurant,43.66299249443719,-79.38366063250538
69,M7A,Rabba Fine Foods,Grocery Store,43.66466202511125,-79.38600527411525
70,M7A,Presse Cafe,Café,43.66257675207432,-79.38633959907268
71,M7A,Second Cup,Coffee Shop,43.663794067009306,-79.38692346576333
72,M7A,Galleria Express,Grocery Store,43.66467469336765,-79.3844802986246
73,M7A,Tim Hortons,Coffee Shop,43.6594149,-79.3912214
74,M7A,Mullins Irish Alehouse,Pub,43.666303328791415,-79.38793556939271
75,M7A,Seoulicious,Korean Restaurant,43.665304,-79.384902
76,M7A,Mr. Sub,Sandwich Place,43.66303308826682,-79.38375818257252
77,M7A,SUDS,Bar,43.65988035580764,-79.39471219966201
78,M7A,Pizza Pizza,Pizza Place,43.65948714793604,-79.3852073537072
79,M7A,Pizzaiolo,Pizza Place,43.66443361154297,-79.38437863131217
80,M7A,Convocation Hall,College Auditorium,43.66082829233904,-79.39524545662506
81,M7A,The Halal Guys,North Indian Restaurant,43.66510105668327,-79.38468361478009
82,M7A,Second Cup,Coffee Shop,43.66077002119732,-79.38467595394991
83,M7A,Tim Hortons,Coffee Shop,43.659695,-79.388706
84,M7A,Winners,Department Store,43.6609971311074,-79.3835994601249
85,M7A,Second Cup,Coffee Shop,43.660721671691235,-79.38630837243234
86,M7A,Tim Hortons,Coffee Shop,43.6647421,-79.3875292
87,M7A,The Sandwich Delight,Sandwich Place,43.661369862554835,-79.38766021175518
88,M7A,Sushi Shop,Sushi Restaurant,43.66162,-79.387636
89,M7A,Tim Hortons,Coffee Shop,43.6589062,-79.3886961
90,M7A,Duck,Chinese Restaurant,43.660739056022976,-79.38391327857971
91,M7A,Rexall,Pharmacy,43.660485,-79.384455
92,M7A,Green Grotto 綠的小窩,Café,43.66582795892281,-79.38710451433707
93,M7A,Just Falafel  . . . Redefining Street Food,Mediterranean Restaurant,43.661798749133474,-79.38612623401507
94,M7A,College Park,Shopping Mall,43.66123664500852,-79.38360253789236
95,M7A,A&W,Fast Food Restaurant,43.663094,-79.383971
96,M7A,Thai Fantasy,Thai Restaurant,43.66506976184129,-79.38468883871423
97,M7A,7-Eleven,Convenience Store,43.66599153869154,-79.38754767179489
98,M7A,Not Just Noodles,Chinese Restaurant,43.664969727622335,-79.3846589877698
99,M7A,Lettieri Espresso Bar + Cafe,Café,43.65918495791716,-79.38726434896633
0,M9A,Pizza Pizza,Pizza Place,43.66878,-79.53673
0,M1B,Wendy’s,Fast Food Restaurant,43.80744841934756,-79.19905558052072
1,M1B,NT Home Service Inc.,Home Service,43.80641149377684,-79.19773578643797
0,M3B,Island Foods,Caribbean Restaurant,43.745866073988985,-79.34603533317939
1,M3B,Baretto Caffé,Café,43.74445646349851,-79.34645978471785
2,M3B,LA Fitness,Gym,43.74766522888878,-79.34707696065234
3,M3B,Gonoe Sushi,Japanese Restaurant,43.74573681959921,-79.34599119916211
4,M3B,Bond Park,Baseball Field,43.74537356928136,-79.35124509707558
5,M3B,Elite Basketball Camps,Athletics & Sports,43.748789728,-79.35422793
6,M3B,BearCom - Toronto,Construction & Landscaping,43.7481899,-79.3489319
7,M3B,Villa Madina,Restaurant,43.748304,-79.348579
8,M3B,I.D.A. - Ida Don Mills Pharmacy,Pharmacy,43.745409,-79.346511
0,M4B,Jawny Bakers,Gastropub,43.705782646822,-79.31291304477831
1,M4B,East York Gymnastics,Gym / Fitness Center,43.710654,-79.309279
2,M4B,Shoppers Drug Mart,Pharmacy,43.705933,-79.312825
3,M4B,TD Canada Trust,Bank,43.705739883755946,-79.31227013468737
4,M4B,Pizza Pizza,Pizza Place,43.70515901620182,-79.31312955571528
5,M4B,Design Room & Co.,Furniture / Home Store,43.70652321982872,-79.31189060211182
6,M4B,Rise & Dine Eatery,Breakfast Spot,43.705769,-79.311638
7,M4B,Nostalgia,Café,43.706832771917064,-79.31178314223835
8,M4B,East York Animal Clinic,Pet Store,43.70592051370348,-79.3121958344716
9,M4B,Sun Spa,Spa,43.706461,-79.312019
10,M4B,St. Clair Ave E & O'Connor Dr,Intersection,43.70523283448301,-79.31327432821826
11,M4B,Venice Pizza,Pizza Place,43.70592051370348,-79.31395663414658
12,M4B,Merchant's Flea Market,Flea Market,43.705107692965406,-79.31416841029413
13,M4B,TKTO - Toronto Knife Throwing Organization,Athletics & Sports,43.7099660731501,-79.31341111891099
0,M5B,UNIQLO ユニクロ,Clothing Store,43.65591027779457,-79.38064099181345
1,M5B,Page One Cafe,Café,43.65777161112601,-79.3760725691681
2,M5B,Silver Snail Comics,Comic Shop,43.65703137958407,-79.38140310220501
3,M5B,Yonge-Dundas Square,Plaza,43.65605389742188,-79.38049504264389
4,M5B,Burrito Boyz,Burrito Place,43.656265264409015,-79.37834318376771
5,M5B,Ed Mirvish Theatre,Theater,43.655101567321054,-79.37976762131545
6,M5B,Hokkaido Ramen Santouka らーめん山頭火,Ramen Restaurant,43.65643520293576,-79.37758637997793
7,M5B,Jazz Bistro,Music Venue,43.65567828473835,-79.37927565514764
8,M5B,Blaze Pizza,Pizza Place,43.656518,-79.380015
9,M5B,Five Guys,Burger Joint,43.657116518476315,-79.38085267976494
10,M5B,Salad King,Thai Restaurant,43.65760101432665,-79.38161963017174
11,M5B,The Senator Restaurant,Diner,43.65564091455335,-79.37919882575557
12,M5B,The Black Canary Espresso Bar,Café,43.65702925121356,-79.38138512728051
13,M5B,Ryerson Athletics Centre,College Rec Center,43.65843443942876,-79.37929610991361
14,M5B,Banh Mi Boys,Sandwich Place,43.659292,-79.381949
15,M5B,Tokyo Smoke,Coffee Shop,43.65723,-79.38087
16,M5B,Oakham Café,Café,43.658077944767534,-79.37831497990125
17,M5B,Samsung Experience Store (Eaton Centre),Electronics Store,43.65564777812532,-79.3810108074576
18,M5B,Chipotle Mexican Grill,Mexican Restaurant,43.65686,-79.38091
19,M5B,Ryerson Image Centre,Art Gallery,43.65752337161094,-79.37945958709186
20,M5B,CF Toronto Eaton Centre,Shopping Mall,43.654446920401455,-79.38095230798749
21,M5B,Kinka Izakaya Original,Japanese Restaurant,43.66059636632361,-79.37889120754515
22,M5B,Solei Tanning Salon,Tanning Salon,43.654734082347616,-79.38024826065258
23,M5B,Hailed Coffee,Coffee Shop,43.65883296982352,-79.38368351986598
24,M5B,Barberian's Steak House,Steakhouse,43.65775512925926,-79.38217741375935
25,M5B,Elgin And Winter Garden Theatres,Theater,43.653393796019586,-79.3785073962175
26,M5B,Crepe Delicious,Fast Food Restaurant,43.654536488277245,-79.38088885547485
27,M5B,The Queen and Beaver Public House,Gastropub,43.65747228208784,-79.38352412327917
28,M5B,The Grand Hotel & Suites Toronto,Hotel,43.65644901207743,-79.3741100180102
29,M5B,306 Yonge Street - Jordan Store,Sporting Goods Shop,43.65649471160899,-79.38101531134684
30,M5B,BMV Books,Bookstore,43.657047061091596,-79.38166061431659
31,M5B,Kinton Ramen,Ramen Restaurant,43.660631695006714,-79.37887964897601
32,M5B,Lake Devo,Lake,43.6569936860937,-79.37689788366988
33,M5B,The Elm Tree Restaurant,Modern European Restaurant,43.65739749535259,-79.38376054171513
34,M5B,Elmwood Spa,Spa,43.6577592341367,-79.38258620521141
35,M5B,Bourbon St. Grill,Fast Food Restaurant,43.6551351410162,-79.3808225262395
36,M5B,Indigo,Bookstore,43.65351471121164,-79.38069591056922
37,M5B,LUSH,Cosmetics Shop,43.653557,-79.3804
38,M5B,MUJI,Miscellaneous Shop,43.656024,-79.383284
39,M5B,DAVIDsTEA,Tea Room,43.65521877547618,-79.38094518163427
40,M5B,Danish Pastry House,Bakery,43.654574,-79.38074
41,M5B,Red Lobster,Seafood Restaurant,43.656328,-79.383621
42,M5B,Nordstrom,Clothing Store,43.655041,-79.3809665
43,M5B,Second Cup,Coffee Shop,43.65602745564191,-79.38057491935326
44,M5B,College Park Area,Park,43.659453,-79.383785
45,M5B,Citrus Restaurant & Lounge @ The Grand Hotel,Lounge,43.65627304573888,-79.37422062269164
46,M5B,The 3 Brewers,Beer Bar,43.655474284721,-79.38041324445061
47,M5B,Cineplex Cinemas,Movie Theater,43.65612555948613,-79.38039005666784
48,M5B,Ali Baba's - Yonge north of Dundas,Middle Eastern Restaurant,43.65791597172264,-79.38168923893144
49,M5B,Tim Hortons,Coffee Shop,43.656755,-79.380512
50,M5B,SEPHORA,Cosmetics Shop,43.6535272,-79.3801543
51,M5B,Ethiopiques,Ethiopian Restaurant,43.65651274304155,-79.377077748846
52,M5B,Magic Tailor,Clothing Store,43.65374158228865,-79.37974523881418
53,M5B,Marriott Downtown at CF Toronto Eaton Centre,Hotel,43.654728444284025,-79.3824216350913
54,M5B,MAC Cosmetics,Cosmetics Shop,43.65405547492733,-79.38071368220903
55,M5B,Tangerine Café,Bank,43.653936903308185,-79.37972202364307
56,M5B,Chatime 日出茶太,Bubble Tea Shop,43.65554164147378,-79.38468427043244
57,M5B,Kabul Express,Middle Eastern Restaurant,43.65669146835466,-79.37664313658586
58,M5B,JOEY Eaton Centre,New American Restaurant,43.6560936540828,-79.38187792357716
59,M5B,Balzac's Coffee,Coffee Shop,43.65785440672277,-79.37919981155157
60,M5B,Roots,Clothing Store,43.65361341708363,-79.38024401664734
61,M5B,Trattoria Mercatto,Italian Restaurant,43.65445314470199,-79.3809741075674
62,M5B,Scaddabush Italian Kitchen & Bar,Italian Restaurant,43.658920292028725,-79.38289105381784
63,M5B,Starbucks,Coffee Shop,43.65446528594945,-79.37891894388453
64,M5B,Urban Outfitters,Clothing Store,43.65441107845698,-79.38005491917738
65,M5B,Starbucks,Coffee Shop,43.65596912045543,-79.38268426666406
66,M5B,Coco Fresh Tea & Juice,Bubble Tea Shop,43.65865989038909,-79.38204032226336
67,M5B,Nordstrom Ebar,Coffee Shop,43.654648676831954,-79.38057377013143
68,M5B,Uncle Tetsu's Japanese Cheesecake,Dessert Shop,43.65606287245643,-79.38369472446465
69,M5B,HomeSense,Furniture / Home Store,43.6530533,-79.3794496
70,M5B,Hard Candy Fitness,Gym / Fitness Center,43.659556180497816,-79.38244024080487
71,M5B,Bubble Republic Tea House 奶茶黨部,Bubble Tea Shop,43.656707495984975,-79.38416470657434
72,M5B,EB Games,Video Game Store,43.65529344166874,-79.38032812642462
73,M5B,Ryerson Square,Other Great Outdoors,43.656988428886045,-79.37689617296417
74,M5B,Hollister Co.,Clothing Store,43.654479660102204,-79.38091371769396
75,M5B,Panago,Pizza Place,43.65825817735338,-79.38431282558368
76,M5B,Ali Basha Cafè,Hookah Bar,43.6566897,-79.3754589
77,M5B,Cafe de Melbourne,Café,43.656087801489825,-79.38070487601242
78,M5B,Booster Juice,Juice Bar,43.65631796,-79.38276487
79,M5B,Marshalls,Department Store,43.659308,-79.3824621
80,M5B,Milo's Pita,Falafel Restaurant,43.65626969248787,-79.38097430189029
81,M5B,Hot Topic,Clothing Store,43.65596871424237,-79.38050663269382
82,M5B,KAKA,Japanese Restaurant,43.65745745164475,-79.38419169987876
83,M5B,Spring Sushi,Sushi Restaurant,43.656252529816086,-79.38065954471074
84,M5B,Happy Fruit Bubble Tea,Bubble Tea Shop,43.65633866192577,-79.38078294523989
85,M5B,Paramount Fine Foods,Middle Eastern Restaurant,43.65502870847598,-79.38024513018975
86,M5B,Bath & Body Works,Distribution Center,43.65418247138001,-79.38094783233447
87,M5B,Big Smoke Burger,Burger Joint,43.65492030150413,-79.38080432697494
88,M5B,Thai On Yonge,Thai Restaurant,43.658607309508525,-79.38199875669441
89,M5B,Smoke's Poutinerie,Poutine Place,43.65737935238092,-79.37345459540276
90,M5B,GB Hand-Pulled Noodles,Chinese Restaurant,43.65643422548463,-79.3837827356398
91,M5B,Victoria's Secret PINK,Lingerie Store,43.65335746417248,-79.3806734813237
92,M5B,Winners,Department Store,43.6569552,-79.3808494
93,M5B,Starbucks,Coffee Shop,43.654438,-79.380699
94,M5B,Panera Bread,Bakery,43.65710745327419,-79.38157439231873
95,M5B,Donatello Restaurant,Italian Restaurant,43.657489310288014,-79.38360495100461
96,M5B,Katsuya,Japanese Restaurant,43.65986035759321,-79.37878806223506
97,M5B,Vans,Shoe Store,43.654825509733335,-79.38024076741966
98,M5B,Aroma Espresso Bar,Coffee Shop,43.65446155341208,-79.38090841333593
99,M5B,adidas Sport Performance,Sporting Goods Shop,43.65618481807559,-79.38077478058362
0,M6B,"R Bakery - Delicious Cakes, Breads",Bakery,43.70741964331273,-79.44312584563261
